index,Year,Month,Week,CO2 (ppm),Increase since 1800
1,1974,6,2,332.16,49.43
2,1974,12,1,328.86,50.27
3,1975,6,1,333.97,51.22
4,1975,12,7,-999.99,-999.99
5,1976,6,6,334.45,51.84
6,1976,12,5,331.19,52.44
7,1977,6,5,336.17,53.55
8,1977,12,4,333.2,54.53
9,1978,6,4,338.17,55.49
10,1978,12,3,334.42,55.77
11,1979,6,3,339.73,56.99
12,1979,12,2,336.34,57.75
13,1980,6,1,341.61,58.77
14,1980,12,7,338.22,59.37
15,1981,6,7,342.83,60.15
16,1981,12,6,339.63,60.79
17,1982,6,6,344.03,61.3
18,1982,12,5,340.65,61.79
19,1983,6,5,346.02,63.22
20,1983,12,4,342.44,63.6
21,1984,6,3,347.18,64.34
22,1984,12,2,344.01,65.22
23,1985,6,2,349.01,66.12
24,1985,12,1,345.29,66.61
25,1986,6,1,350.36,67.48
26,1986,12,7,347.04,68.12
27,1987,6,7,351.81,69.19
28,1987,12,6,348.75,69.86
29,1988,6,5,354.23,71.52
30,1988,12,4,350.9,72.13
31,1989,6,4,355.62,72.79
32,1989,12,3,352.43,73.73
33,1990,6,3,356.89,74.02
34,1990,12,2,353.78,75.01
35,1991,6,2,358.19,75.34
36,1991,12,1,354.55,75.77
37,1992,6,7,359.82,77.12
38,1992,12,6,355.13,76.19
39,1993,6,6,359.76,76.97
40,1993,12,5,356.51,77.67
41,1994,6,5,360.93,78.11
42,1994,12,4,358.55,79.73
43,1995,6,4,363.83,81.03
44,1995,12,3,360.2,81.4
45,1996,6,2,364.95,82.27
46,1996,12,1,361.57,82.86
47,1997,6,1,366.01,83.4
48,1997,12,7,363.98,84.97
49,1998,6,7,369.02,86.58
50,1998,12,6,366.64,87.65
51,1999,6,6,370.79,88.34
52,1999,12,5,367.83,88.79
53,2000,6,4,371.91,89.4
54,2000,12,3,369.62,90.63
55,2001,6,3,373.45,90.87
56,2001,12,2,370.76,91.88
57,2002,6,2,375.86,93.24
58,2002,12,1,373.01,94.29
59,2003,6,1,378.36,95.62
60,2003,12,7,375.67,96.72
61,2004,6,6,379.88,97.25
62,2004,12,5,377.35,98.52
63,2005,6,5,382.58,99.85
64,2005,12,4,379.56,100.77
65,2006,6,4,384.48,101.71
66,2006,12,3,381.42,102.69
67,2007,6,3,386.84,104.03
68,2007,12,2,383.56,104.92
69,2008,6,1,388.59,105.74
70,2008,12,7,385.36,106.45
71,2009,6,7,390.19,107.59
72,2009,12,6,386.84,107.92
73,2010,6,6,392.89,110.2
74,2010,12,5,389.79,110.9
75,2011,6,5,393.52,110.76
76,2011,12,4,391.42,112.55
77,2012,6,3,395.47,112.68
78,2012,12,2,393.66,114.73
79,2013,6,2,399.2,116.31
80,2013,12,1,396.28,117.51
81,2014,6,1,401.88,118.95
82,2014,12,7,399.01,119.98
83,2015,6,7,403.24,120.59
84,2015,12,6,401.31,122.33
85,2016,6,5,406.86,124.14
